Location,Year,Distance,Stroke,Relay?,Gender,Team,Athlete,Results,Rank,Experience,Previous_Best,Previous_Average
Paris,1924,100.0,Freestyle,0,Men,HUN,A. Turnovsky,,0,0.0,,
Tokyo,1964,100.0,Butterfly,0,Women,NED,Aagje Ada Kok,65.599999,2,0.0,,
City,1968,100.0,Butterfly,0,Women,NED,Aagje Ada Kok,66.2,3,1.0,65.599999,65.599999
City,1968,200.0,Butterfly,0,Women,NED,Aagje Ada Kok,144.7,1,0.0,,
Stockholm,1912,100.0,Freestyle,0,Women,NOR,Aagot Normann,,0,0.0,,
Athens,2004,100.0,Backstroke,0,Men,USA,Aaron Peirsol,54.06,1,0.0,,
Beijing,2008,100.0,Backstroke,0,Men,USA,Aaron Peirsol,52.54,1,1.0,54.06,54.06
Sydney,2000,200.0,Backstroke,0,Men,USA,Aaron Peirsol,117.35,2,0.0,,
Athens,2004,200.0,Backstroke,0,Men,USA,Aaron Peirsol,114.95,1,1.0,117.35,117.35
Beijing,2008,200.0,Backstroke,0,Men,USA,Aaron Peirsol,114.33,2,2.0,114.95,116.15
Rome,1960,100.0,Butterfly,0,Women,NED,Aartje Johanna Voorbij,73.3,4,0.0,,
Tokyo,2020,50.0,Freestyle,0,Women,USA,Abbey Weitzeil,24.41,4,0.0,,
Rio,2016,100.0,Freestyle,0,Women,USA,Abbey Weitzeil,53.3,4,0.0,,
Tokyo,2020,100.0,Freestyle,0,Women,USA,Abbey Weitzeil,53.23,4,1.0,53.3,53.3
Tokyo,2020,200.0,Breaststroke,0,Women,GBR,Abbie Wood,143.72,4,0.0,,
Tokyo,2020,200.0,Individual medley,0,Women,GBR,Abbie Wood,129.15,4,0.0,,
Rio,2016,100.0,Breaststroke,0,Men,GBR,Adam Peaty,57.13,1,0.0,,
Tokyo,2020,100.0,Breaststroke,0,Men,GBR,Adam Peaty,57.37,1,1.0,57.13,57.13
Tokyo,2020,200.0,Backstroke,0,Men,HUN,Adam Telegdy,116.15,4,0.0,,
Rome,1960,200.0,Breaststroke,0,Women,NED,Adelaide Henriette (Ada) Den Haan,174.4,4,0.0,,
Berlin,1936,100.0,Backstroke,0,Men,USA,Adolph Gustav Kiefer,65.9,1,0.0,,
Angeles,1984,100.0,Breaststroke,0,Men,GBR,Adrian David Moorhouse,63.25,4,0.0,,
Seoul,1988,100.0,Breaststroke,0,Men,GBR,Adrian David Moorhouse,62.04,1,1.0,63.25,63.25
Barcelona,1992,100.0,Breaststroke,0,Men,GBR,Adrian David Moorhouse,62.33,4,2.0,62.04,62.644999999999996
London,1948,200.0,Breaststroke,0,Women,NED,Adriana Elisabeth De Groot,186.2,4,0.0,,
Paris,1924,200.0,Breaststroke,0,Women,USA,Agnes Geraghty,214.0,2,0.0,,
Munich,1972,100.0,Breaststroke,0,Women,HUN,Agnes Kaczander-Kiss,76.26,4,0.0,,
Munich,1972,200.0,Breaststroke,0,Women,HUN,Agnes Kaczander-Kiss,163.41,4,0.0,,
Atlanta,1996,100.0,Breaststroke,0,Women,HUN,Agnes Kovacs,69.55,4,0.0,,
Sydney,2000,100.0,Breaststroke,0,Women,HUN,Agnes Kovacs,68.09,4,1.0,69.55,69.55
Atlanta,1996,200.0,Breaststroke,0,Women,HUN,Agnes Kovacs,146.57,3,0.0,,
Sydney,2000,200.0,Breaststroke,0,Women,HUN,Agnes Kovacs,144.35,1,1.0,146.57,146.57
Athens,2004,200.0,Breaststroke,0,Women,HUN,Agnes Kovacs,146.12,4,2.0,144.35,145.45999999999998
Athens,2004,200.0,Individual medley,0,Women,HUN,Agnes Kovacs,133.58,4,0.0,,
Moscow,1980,100.0,Freestyle,0,Women,SWE,Agneta Eriksson,57.9,4,0.0,,
Moscow,1980,100.0,Butterfly,0,Women,SWE,Agneta Märtensson,62.61,4,0.0,,
Moscow,1980,200.0,Butterfly,0,Women,SWE,Agneta Märtensson,135.22,4,0.0,,
Moscow,1980,400.0,Individual medley,0,Women,POL,Agnieszka Czopek,288.17,3,0.0,,
Tokyo,2020,400.0,Freestyle,0,Men,TUN,Ahmed Hafnaoui,223.36,1,0.0,,
London,1948,200.0,Breaststroke,0,Men,EGY,Ahmed Kandil,167.5,4,0.0,,
Athens,2004,400.0,Freestyle,0,Women,JPN,Ai Shibata,247.51,4,0.0,,
Athens,2004,800.0,Freestyle,0,Women,JPN,Ai Shibata,504.54,1,0.0,,
Paris,1924,100.0,Backstroke,0,Women,USA,Aileen Riggin,88.2,3,0.0,,
Rio,2016,400.0,Individual medley,0,Women,GBR,Aimee Willmott,275.04,4,0.0,,
Paris,1924,400.0,Freestyle,0,Men,SWE,Ake Borg,326.0,4,0.0,,
Barcelona,1992,100.0,Breaststroke,0,Men,JPN,Akira Hayashi,61.86,4,0.0,,
Barcelona,1992,200.0,Breaststroke,0,Men,JPN,Akira Hayashi,135.11,4,0.0,,
Berlin,1936,100.0,Backstroke,0,Men,USA,Al Vande Weghe,67.7,2,0.0,,
Paris,1924,100.0,Backstroke,0,Men,HUN,Aladár Bitskey,,0,0.0,,
Beijing,2008,50.0,Freestyle,0,Men,FRA,Alain Bernard,21.49,3,0.0,,
Beijing,2008,100.0,Freestyle,0,Men,FRA,Alain Bernard,47.21,1,0.0,,
Tokyo,1964,100.0,Freestyle,0,Men,FRA,Alain Gottvalles,54.2,4,0.0,,
City,1968,200.0,Freestyle,0,Men,FRA,Alain Mosconi,119.1,4,0.0,,
City,1968,400.0,Freestyle,0,Men,FRA,Alain Mosconi,253.3,3,0.0,,
Rome,1960,400.0,Freestyle,0,Men,USA,Alan Brounell Somers,262.0,4,0.0,,
Rome,1960,1500.0,Freestyle,0,Men,USA,Alan Brounell Somers,1082.8,4,0.0,,
London,1948,100.0,Freestyle,0,Men,USA,Alan Robert Ford,57.8,3,0.0,,
Moscow,1980,200.0,Breaststroke,0,Men,HUN,Alban Vermes,136.93,2,0.0,,
London,1948,100.0,Backstroke,0,Men,GBR,Albert David Kinnear,69.6,4,0.0,,
Melbourne,1956,100.0,Backstroke,0,Men,USA,Albert Marcus Jr. Wiggins,65.8,4,0.0,,
Angeles,1932,100.0,Freestyle,0,Men,USA,Albert Schwartz,58.8,3,0.0,,
Angeles,1984,100.0,Freestyle,0,Men,VEN,Alberto Eugenio Mestre Sosa,50.7,4,0.0,,
Angeles,1984,200.0,Freestyle,0,Men,VEN,Alberto Eugenio Mestre Sosa,110.229999,4,0.0,,
City,1968,100.0,Breaststroke,0,Men,ARG,Alberto Forelli Lopez,68.7,4,0.0,,
Tokyo,2020,400.0,Individual medley,0,Men,ITA,Alberto Razzetti,251.32,4,0.0,,
Amsterdam,1928,100.0,Freestyle,0,Men,ARG,Alberto Zorrilla,61.6,4,0.0,,
Angeles,1932,100.0,Freestyle,0,Men,ARG,Alberto Zorrilla,,0,1.0,61.6,61.6
Amsterdam,1928,400.0,Freestyle,0,Men,ARG,Alberto Zorrilla,301.6,1,0.0,,
Angeles,1932,400.0,Freestyle,0,Men,ARG,Alberto Zorrilla,,0,1.0,301.6,301.6
Amsterdam,1928,1500.0,Freestyle,0,Men,ARG,Alberto Zorrilla,1283.8,4,0.0,,
Amsterdam,1928,100.0,Freestyle,0,Women,USA,Albina Lucy Osipowich,71.0,1,0.0,,
Helsinki,1952,100.0,Freestyle,0,Men,FRA,Aldo Eminente,58.7,4,0.0,,
Melbourne,1956,100.0,Freestyle,0,Men,FRA,Aldo Eminente,58.1,4,1.0,58.7,58.7
Moscow,1980,1500.0,Freestyle,0,Men,URS,Aleksandr Chaev,914.3,2,0.0,,
Moscow,1980,100.0,Breaststroke,0,Men,URS,Aleksandr Fedorovski,64.0,4,0.0,,
Rio,2016,200.0,Freestyle,0,Men,RUS,Aleksandr Krasnykh,105.91,4,0.0,,
Rio,2016,100.0,Butterfly,0,Men,RUS,Aleksandr Sadovnikov,51.84,4,0.0,,
Moscow,1980,400.0,Individual medley,0,Men,URS,Aleksandr Sidorenko,262.89,1,0.0,,
Tokyo,1964,200.0,Breaststroke,0,Men,URS,Aleksandr Tutakaev,151.0,4,0.0,,
Atlanta,1996,1500.0,Freestyle,0,Men,RUS,Aleksey Akatyev,921.68,4,0.0,,
Moscow,1980,100.0,Butterfly,0,Men,URS,Aleksey Markovsky,55.7,4,0.0,,
Athens,2004,100.0,Butterfly,0,Women,BLR,Alena Popchanka,59.06,4,0.0,,
Athens,2004,100.0,Freestyle,0,Women,BLR,Alena Popchanka,55.24,4,0.0,,
Tokyo,2020,100.0,Freestyle,0,Men,ITA,Alessandro Miressi,47.86,4,0.0,,
Beijing,2008,400.0,Individual medley,0,Women,ITA,Alessia Filippi,274.34,4,0.0,,
Beijing,2008,800.0,Freestyle,0,Women,ITA,Alessia Filippi,500.23,2,0.0,,
Sydney,2000,400.0,Individual medley,0,Men,ITA,Alessio Boggiatto,255.93,4,0.0,,
Athens,2004,400.0,Individual medley,0,Men,ITA,Alessio Boggiatto,252.28,4,1.0,255.93,255.93
Beijing,2008,400.0,Individual medley,0,Men,ITA,Alessio Boggiatto,252.16,4,2.0,252.28,254.10500000000002
Tokyo,2020,200.0,Individual medley,0,Women,USA,Alex Walsh,128.65,2,0.0,,
Angeles,1984,200.0,Individual medley,0,Men,CAN,Alexander Baumann,121.42,1,0.0,,
Angeles,1984,400.0,Individual medley,0,Men,CAN,Alexander Baumann,257.41,1,0.0,,
Beijing,2008,100.0,Breaststroke,0,Men,NOR,Alexander Dale Oen,59.2,4,0.0,,
Barcelona,1992,50.0,Freestyle,0,Men,EUN,Alexander Popov,21.91,1,0.0,,
Atlanta,1996,50.0,Freestyle,0,Men,RUS,Alexander Popov,22.13,1,1.0,21.91,21.91
Sydney,2000,50.0,Freestyle,0,Men,RUS,Alexander Popov,22.24,4,2.0,21.91,22.02
Barcelona,1992,100.0,Freestyle,0,Men,EUN,Alexander Popov,49.02,1,0.0,,
Atlanta,1996,100.0,Freestyle,0,Men,RUS,Alexander Popov,48.74,1,1.0,49.02,49.02
Sydney,2000,100.0,Freestyle,0,Men,RUS,Alexander Popov,48.69,2,2.0,48.74,48.88
Munich,1972,200.0,Backstroke,0,Men,USA,Alexander Timothy Mckee,127.29,4,0.0,,
Munich,1972,200.0,Individual medley,0,Men,USA,Alexander Timothy Mckee,128.37,2,0.0,,
Munich,1972,400.0,Individual medley,0,Men,USA,Alexander Timothy Mckee,271.98,1,0.0,,
Montreal,1976,400.0,Individual medley,0,Men,USA,Alexander Timothy Mckee,264.62,2,1.0,271.98,271.98
City,1968,100.0,Freestyle,0,Women,GBR,Alexandra Elizabeth Jackson,61.0,4,0.0,,
Munich,1972,100.0,Freestyle,0,Women,USA,Alexandra Lynn Neilson,58.59,3,0.0,,
London,1948,100.0,Freestyle,0,Men,FRA,Alexandre Jany,58.3,4,0.0,,
London,1948,400.0,Freestyle,0,Men,FRA,Alexandre Jany,291.4,4,0.0,,
Angeles,1984,200.0,Breaststroke,0,Men,POR,Alexandre Yokochi,140.69,4,0.0,,
Melbourne,1956,200.0,Butterfly,0,Men,ROU,Alexandru Popescu,151.0,4,0.0,,
Sydney,2000,1500.0,Freestyle,0,Men,RUS,Alexei Filipets,896.88,4,0.0,,
London,2012,200.0,Backstroke,0,Women,FRA,Alexianne Castel,128.43,4,0.0,,
London,2012,100.0,Breaststroke,0,Women,JAM,Alia Atkinson,66.93,4,0.0,,
Rio,2016,100.0,Breaststroke,0,Women,JAM,Alia Atkinson,68.099999,4,1.0,66.93,66.93
Beijing,2008,50.0,Freestyle,0,Women,BLR,Aliaksandra Herasimenia,24.77,4,0.0,,
London,2012,50.0,Freestyle,0,Women,BLR,Aliaksandra Herasimenia,24.28,2,1.0,24.77,24.77
Rio,2016,50.0,Freestyle,0,Women,BLR,Aliaksandra Herasimenia,24.11,3,2.0,24.28,24.525
London,2012,100.0,Freestyle,0,Women,BLR,Aliaksandra Herasimenia,53.38,2,0.0,,
Berlin,1936,100.0,Backstroke,0,Women,USA,Alice W. Bridges,79.4,3,0.0,,
London,2012,100.0,Butterfly,0,Women,AUS,Alicia Coutts,56.94,3,0.0,,
Beijing,2008,200.0,Individual medley,0,Women,AUS,Alicia Coutts,131.43,4,0.0,,
London,2012,200.0,Individual medley,0,Women,AUS,Alicia Coutts,128.15,2,1.0,131.43,131.43
Rio,2016,200.0,Individual medley,0,Women,AUS,Alicia Coutts,130.88,4,2.0,128.15,129.79000000000002
Tokyo,2020,200.0,Individual medley,0,Women,GBR,Alicia Wilson,132.86,4,0.0,,
Barcelona,1992,200.0,Breaststroke,0,Women,POL,Alicja Peczak,151.76,4,0.0,,
Paris,1924,100.0,Freestyle,0,Women,NED,Alida Cornelia Bolten,,0,0.0,,
Sydney,2000,50.0,Freestyle,0,Women,GBR,Alison Sheppard,25.45,4,0.0,,
City,1968,200.0,Breaststroke,0,Women,URS,Alla Grebennikova,167.1,4,0.0,,
Moscow,1980,200.0,Butterfly,0,Women,URS,Alla Grishchenkova,135.699999,4,0.0,,
Tokyo,1964,400.0,Freestyle,0,Men,AUS,Allan Wood,255.1,3,0.0,,
Tokyo,1964,1500.0,Freestyle,0,Men,AUS,Allan Wood,1027.7,3,0.0,,
London,1948,100.0,Backstroke,0,Men,USA,Allen Mcintyre Stack,66.4,1,0.0,,
Helsinki,1952,100.0,Backstroke,0,Men,USA,Allen Mcintyre Stack,67.599999,4,1.0,66.4,66.4
Seoul,1988,100.0,Breaststroke,0,Women,CAN,Allison Ann Higson,68.86,4,0.0,,
Seoul,1988,200.0,Breaststroke,0,Women,CAN,Allison Ann Higson,149.6,4,0.0,,
London,2012,200.0,Freestyle,0,Women,USA,Allison Schmitt,113.61,1,0.0,,
London,2012,400.0,Freestyle,0,Women,USA,Allison Schmitt,241.77,2,0.0,,
Atlanta,1996,200.0,Individual medley,0,Women,USA,Allison Wagner,136.43,4,0.0,,
Atlanta,1996,400.0,Individual medley,0,Women,USA,Allison Wagner,282.03,2,0.0,,
Stockholm,1912,100.0,Freestyle,0,Men,HUN,Alois Ferenc Kenyery,,0,0.0,,
Tokyo,2020,200.0,Butterfly,0,Women,GBR,Alys Margaret Thomas,127.9,4,0.0,,
Sydney,2000,200.0,Backstroke,0,Women,USA,Amanda Adkins,132.35,4,0.0,,
Atlanta,1996,100.0,Breaststroke,0,Women,USA,Amanda Beard,68.09,2,0.0,,
Athens,2004,100.0,Breaststroke,0,Women,USA,Amanda Beard,67.44,4,1.0,68.09,68.09
Atlanta,1996,200.0,Breaststroke,0,Women,USA,Amanda Beard,145.75,2,0.0,,
Sydney,2000,200.0,Breaststroke,0,Women,USA,Amanda Beard,145.35,3,1.0,145.75,145.75
Athens,2004,200.0,Breaststroke,0,Women,USA,Amanda Beard,143.37,1,2.0,145.35,145.55
Athens,2004,200.0,Individual medley,0,Women,USA,Amanda Beard,131.699999,2,0.0,,
Beijing,2008,50.0,Freestyle,0,Men,FRA,Amaury Leveaux,21.45,2,0.0,,
Angeles,1984,100.0,Freestyle,0,Men,USA,Ambrose Iv Gaines,49.8,1,0.0,,
Angeles,1984,200.0,Backstroke,0,Women,USA,Amy Lee White,133.039999,2,0.0,,
Atlanta,1996,50.0,Freestyle,0,Women,USA,Amy Van Dyken,24.87,1,0.0,,
Sydney,2000,50.0,Freestyle,0,Women,USA,Amy Van Dyken,25.04,4,1.0,24.87,24.87
Atlanta,1996,100.0,Butterfly,0,Women,USA,Amy Van Dyken,59.13,4,0.0,,
Atlanta,1996,100.0,Freestyle,0,Women,USA,Amy Van Dyken,55.11,4,0.0,,
Helsinki,1952,400.0,Freestyle,0,Women,ARG,Ana Maria Schultz,324.0,4,0.0,,
City,1968,100.0,Breaststroke,0,Women,URU,Ana-Maria Norbis,77.3,4,0.0,,
City,1968,200.0,Breaststroke,0,Women,URU,Ana-Maria Norbis,171.9,4,0.0,,
Beijing,2008,100.0,Backstroke,0,Women,RUS,Anastasia Zueva,59.4,4,0.0,,
London,2012,100.0,Backstroke,0,Women,RUS,Anastasia Zueva,59.0,4,1.0,59.4,59.4
Beijing,2008,200.0,Backstroke,0,Women,RUS,Anastasia Zueva,127.88,4,0.0,,
London,2012,200.0,Backstroke,0,Women,RUS,Anastasia Zueva,125.92,2,1.0,127.88,127.88
Tokyo,2020,800.0,Freestyle,0,Women,ROC,Anastasiia Kirpichnikova,506.3,4,0.0,,
Tokyo,2020,1500.0,Freestyle,0,Women,ROC,Anastasiia Kirpichnikova,960.38,4,0.0,,
Tokyo,2020,100.0,Butterfly,0,Women,BLR,Anastasiya Shkurdai,57.05,4,0.0,,
Tokyo,2020,100.0,Backstroke,0,Women,ISR,Anastasya Gorbenko,59.53,4,0.0,,
Sydney,2000,100.0,Butterfly,0,Men,RUS,Anatoly Polyakov,53.13,4,0.0,,
Sydney,2000,200.0,Butterfly,0,Men,RUS,Anatoly Polyakov,116.34,4,0.0,,
Seoul,1988,200.0,Freestyle,0,Men,SWE,Anders Holmertz,107.89,2,0.0,,
Barcelona,1992,200.0,Freestyle,0,Men,SWE,Anders Holmertz,106.86,2,1.0,107.89,107.89
Atlanta,1996,200.0,Freestyle,0,Men,SWE,Anders Holmertz,108.42,4,2.0,106.86,107.375
Seoul,1988,400.0,Freestyle,0,Men,SWE,Anders Holmertz,231.04,4,0.0,,
Barcelona,1992,400.0,Freestyle,0,Men,SWE,Anders Holmertz,226.77,3,1.0,231.04,231.04
Atlanta,1996,400.0,Freestyle,0,Men,SWE,Anders Holmertz,230.68,4,2.0,226.77,228.905
Munich,1972,200.0,Butterfly,0,Men,HUN,Andras Hargitay,124.69,4,0.0,,
Munich,1972,200.0,Individual medley,0,Men,HUN,Andras Hargitay,129.66,4,0.0,,
Munich,1972,400.0,Individual medley,0,Men,HUN,Andras Hargitay,272.7,3,0.0,,
Montreal,1976,400.0,Individual medley,0,Men,HUN,Andras Hargitay,267.13,4,1.0,272.7,272.7
Moscow,1980,400.0,Individual medley,0,Men,HUN,Andras Hargitay,264.48,4,2.0,267.13,269.91499999999996
Munich,1972,100.0,Freestyle,0,Women,GDR,Andrea Eife,59.91,4,0.0,,
Munich,1972,200.0,Freestyle,0,Women,GDR,Andrea Eife,126.27,4,0.0,,
City,1968,100.0,Backstroke,0,Women,HUN,Andrea Gyarmati,69.1,4,0.0,,
Munich,1972,100.0,Backstroke,0,Women,HUN,Andrea Gyarmati,66.26,2,1.0,69.1,69.1
City,1968,100.0,Butterfly,0,Women,HUN,Andrea Gyarmati,66.8,4,0.0,,
Munich,1972,100.0,Butterfly,0,Women,HUN,Andrea Gyarmati,63.73,3,1.0,66.8,66.8
Seoul,1988,200.0,Backstroke,0,Women,USA,Andrea Jean Hayes,135.02,4,0.0,,
Montreal,1976,100.0,Butterfly,0,Women,GDR,Andrea Pollack,60.98,2,0.0,,
Moscow,1980,100.0,Butterfly,0,Women,GDR,Andrea Pollack,60.9,2,1.0,60.98,60.98
Montreal,1976,200.0,Butterfly,0,Women,GDR,Andrea Pollack,131.41,1,0.0,,
Moscow,1980,200.0,Butterfly,0,Women,GDR,Andrea Pollack,132.13,4,1.0,131.41,131.41
Paris,1924,400.0,Freestyle,0,Men,GRE,Andreas Assimakopoulos,,0,0.0,,
Angeles,1984,100.0,Butterfly,0,Men,FRG,Andreas Behrend,54.95,4,0.0,,
Montreal,1976,200.0,Freestyle,0,Men,URS,Andrei Bogdanov,113.33,4,0.0,,
Montreal,1976,100.0,Freestyle,0,Men,URS,Andrei Krylov,52.15,4,0.0,,
Montreal,1976,200.0,Freestyle,0,Men,URS,Andrei Krylov,110.729999,4,0.0,,
Moscow,1980,200.0,Freestyle,0,Men,URS,Andrei Krylov,110.759999,2,1.0,110.729999,110.729999
Moscow,1980,400.0,Freestyle,0,Men,URS,Andrei Krylov,233.24,2,0.0,,
Tokyo,2020,100.0,Butterfly,0,Men,ROC,Andrei Minakov,50.88,4,0.0,,
Montreal,1976,400.0,Individual medley,0,Men,URS,Andrei Smirnov,266.899999,3,0.0,,
London,2012,800.0,Freestyle,0,Women,VEN,Andreina Pinto,509.28,4,0.0,,
Angeles,1984,100.0,Butterfly,0,Men,GBR,Andrew David Jameson,54.28,4,0.0,,
Seoul,1988,100.0,Butterfly,0,Men,GBR,Andrew David Jameson,53.3,3,1.0,54.28,54.28
Seoul,1988,50.0,Freestyle,0,Men,AUS,Andrew James Baildon,23.15,4,0.0,,
Seoul,1988,100.0,Freestyle,0,Men,AUS,Andrew James Baildon,50.23,4,0.0,,
Beijing,2008,100.0,Butterfly,0,Men,AUS,Andrew Lauterstein,51.12,3,0.0,,
Paris,1924,400.0,Freestyle,0,Men,AUS,Andrew Murray Charlton,306.6,3,0.0,,
Amsterdam,1928,400.0,Freestyle,0,Men,AUS,Andrew Murray Charlton,303.6,2,1.0,306.6,306.6
Angeles,1932,400.0,Freestyle,0,Men,AUS,Andrew Murray Charlton,298.6,4,2.0,303.6,305.1
Paris,1924,1500.0,Freestyle,0,Men,AUS,Andrew Murray Charlton,1206.6,1,0.0,,
Amsterdam,1928,1500.0,Freestyle,0,Men,AUS,Andrew Murray Charlton,1202.6,2,1.0,1206.6,1206.6
Angeles,1984,200.0,Individual medley,0,Men,JAM,Andrew Phillips,125.6,4,0.0,,
Montreal,1976,400.0,Individual medley,0,Men,CAN,Andrew Ritchie,269.87,4,0.0,,
London,2012,200.0,Breaststroke,0,Men,GBR,Andrew Willis,129.44,4,0.0,,
Rio,2016,200.0,Breaststroke,0,Men,GBR,Andrew Willis,127.78,4,1.0,129.44,129.44
Rio,2016,200.0,Breaststroke,0,Men,GBR,Andrew Willis,127.78,4,2.0,127.78,128.61
Tokyo,2020,100.0,Breaststroke,0,Men,USA,Andrew Wilson,58.99,4,0.0,,
City,1968,400.0,Individual medley,0,Men,URS,Andrey Dunayev,300.3,4,0.0,,
Athens,2004,100.0,Freestyle,0,Men,RUS,Andrey Kapralov,49.3,4,0.0,,
Atlanta,1996,200.0,Breaststroke,0,Men,RUS,Andrey Korneyev,133.169999,3,0.0,,
Rio,2016,50.0,Freestyle,0,Men,UKR,Andriy Hovorov,21.74,4,0.0,,
Athens,2004,100.0,Butterfly,0,Men,UKR,Andriy Serdinov,51.36,3,0.0,,
Beijing,2008,100.0,Butterfly,0,Men,UKR,Andriy Serdinov,51.59,4,1.0,51.36,51.36
Rome,1960,200.0,Breaststroke,0,Men,POL,Andrzej Klopotowski,161.2,4,0.0,,
Stockholm,1912,100.0,Backstroke,0,Men,HUN,András Baronyi,85.2,4,0.0,,
Angeles,1984,100.0,Backstroke,0,Women,ROU,Aneta Patrascoiu,63.29,4,0.0,,
Angeles,1984,200.0,Backstroke,0,Women,ROU,Aneta Patrascoiu,133.289999,3,0.0,,
Seoul,1988,200.0,Individual medley,0,Women,ROU,Aneta Patrascoiu,136.699999,4,0.0,,
Barcelona,1992,50.0,Freestyle,0,Women,USA,Angel Martino,25.23,3,0.0,,
Atlanta,1996,50.0,Freestyle,0,Women,USA,Angel Martino,25.31,4,1.0,25.23,25.23
Atlanta,1996,100.0,Butterfly,0,Women,USA,Angel Martino,59.23,4,0.0,,
Atlanta,1996,100.0,Freestyle,0,Women,USA,Angel Martino,54.93,3,0.0,,
City,1968,400.0,Freestyle,0,Women,CAN,Angela Coughlaw,291.9,4,0.0,,
City,1968,800.0,Freestyle,0,Women,CAN,Angela Coughlaw,596.4,4,0.0,,
Helsinki,1952,100.0,Freestyle,0,Women,GBR,Angela Mary Barnwell,68.599999,4,0.0,,
Angeles,1984,100.0,Freestyle,0,Women,AUS,Angela Russell,58.09,4,0.0,,
Melbourne,1956,400.0,Freestyle,0,Men,ITA,Angelo Romani,281.7,4,0.0,,
Barcelona,1992,200.0,Butterfly,0,Women,USA,Angie Wester Krieg,131.46,4,0.0,,
Rome,1960,200.0,Breaststroke,0,Women,GBR,Anita Lonsbrough,169.5,1,0.0,,
Tokyo,1964,400.0,Individual medley,0,Women,GBR,Anita Lonsbrough,330.5,4,0.0,,
Barcelona,1992,100.0,Breaststroke,0,Women,USA,Anita Nall,68.17,2,0.0,,
Barcelona,1992,200.0,Breaststroke,0,Women,USA,Anita Nall,146.88,3,0.0,,
Seoul,1988,400.0,Freestyle,0,Women,GDR,Anke Möhring,246.62,3,0.0,,
Seoul,1988,800.0,Freestyle,0,Women,GDR,Anke Möhring,503.09,4,0.0,,
Atlanta,1996,200.0,Backstroke,0,Women,GER,Anke Scholz,132.9,4,0.0,,
London,1948,100.0,Freestyle,0,Women,USA,Ann Elisabeth Curtis,66.5,2,0.0,,
London,1948,400.0,Freestyle,0,Women,USA,Ann Elisabeth Curtis,317.8,1,0.0,,
Moscow,1980,100.0,Butterfly,0,Women,GBR,Ann Osgerby,62.21,4,0.0,,
Moscow,1980,200.0,Butterfly,0,Women,GBR,Ann Osgerby,134.83,4,0.0,,
Munich,1972,800.0,Freestyle,0,Women,USA,Ann Simmons,537.62,4,0.0,,
Tokyo,1964,400.0,Freestyle,0,Women,SWE,Ann-Charlotte Lilja,293.0,4,0.0,,
Tokyo,1964,100.0,Freestyle,0,Women,SWE,Ann-Christine Hagberg,62.5,4,0.0,,
Tokyo,2020,100.0,Freestyle,0,Women,GBR,Anna Hopkin,52.83,4,0.0,,
Barcelona,1992,200.0,Backstroke,0,Women,NZL,Anna Katrina Simcic,131.99,4,0.0,,
Atlanta,1996,200.0,Backstroke,0,Women,NZL,Anna Katrina Simcic,134.039999,4,1.0,131.99,131.99
Rome,1960,200.0,Breaststroke,0,Women,USA,Anna Kindel Warner,175.4,4,0.0,,
Angeles,1984,200.0,Freestyle,0,Women,AUS,Anna Mcvann,122.87,4,0.0,,
Angeles,1984,400.0,Freestyle,0,Women,AUS,Anna Mcvann,253.95,4,0.0,,
Angeles,1984,800.0,Freestyle,0,Women,AUS,Anna Mcvann,517.94,4,0.0,,
Beijing,2008,200.0,Breaststroke,0,Women,CAN,Annamay Pierse,143.77,4,0.0,,
Angeles,1932,200.0,Breaststroke,0,Women,USA,Anne B. Govednik,196.0,4,0.0,,
Angeles,1984,100.0,Breaststroke,0,Women,CAN,Anne Ottenbrite,70.69,2,0.0,,
Angeles,1984,200.0,Breaststroke,0,Women,CAN,Anne Ottenbrite,150.38,1,0.0,,
Athens,2004,200.0,Breaststroke,0,Women,GER,Anne Poleska,145.82,3,0.0,,
Munich,1972,200.0,Backstroke,0,Women,FRG,Annegret Kober,143.35,4,0.0,,
Montreal,1976,200.0,Freestyle,0,Women,NED,Annelies Maas,122.56,4,0.0,,
Montreal,1976,400.0,Freestyle,0,Women,NED,Annelies Maas,257.44,4,0.0,,
Moscow,1980,400.0,Freestyle,0,Women,NED,Annelies Maas,255.79,4,1.0,257.44,257.44
Angeles,1984,100.0,Butterfly,0,Women,NED,Annemarie Verstappen,61.56,3,0.0,,
Angeles,1984,100.0,Freestyle,0,Women,NED,Annemarie Verstappen,56.08,3,0.0,,
Angeles,1984,200.0,Freestyle,0,Women,NED,Annemarie Verstappen,119.69,3,0.0,,
Seoul,1988,100.0,Breaststroke,0,Women,GDR,Annett Rex,70.67,4,0.0,,
Tokyo,2020,200.0,Breaststroke,0,Women,USA,Annie Lazor,140.84,3,0.0,,
Stockholm,1912,100.0,Freestyle,0,Women,GBR,Annie Speirs,87.4,4,0.0,,
Seoul,1988,100.0,Butterfly,0,Men,SUR,Anthony Conrad Nesty,53.0,1,0.0,,
Barcelona,1992,100.0,Butterfly,0,Men,SUR,Anthony Conrad Nesty,53.41,3,1.0,53.0,53.0
Seoul,1988,200.0,Butterfly,0,Men,SUR,Anthony Conrad Nesty,120.8,4,0.0,,
Sydney,2000,50.0,Freestyle,0,Men,USA,Anthony Ervin,21.98,1,0.0,,
London,2012,50.0,Freestyle,0,Men,USA,Anthony Ervin,21.78,4,1.0,21.98,21.98
