Location,Year,Distance,Stroke,Relay?,Gender,Team,Athlete,Results,Rank,Experience,Previous_Best,Previous_Average
Rio,2016,100.0,Breaststroke,0,Men,BRA,Felipe Franca,59.38,4,0.0,,
City,1968,200.0,Breaststroke,0,Men,MEX,Felipe Munoz,148.7,1,0.0,,
Munich,1972,200.0,Breaststroke,0,Men,MEX,Felipe Munoz,146.44,4,1.0,148.7,148.7
Tokyo,2020,400.0,Freestyle,0,Men,AUT,Felix Auboeck,224.07,4,0.0,,
Tokyo,2020,800.0,Freestyle,0,Men,AUT,Felix Auboeck,469.14,4,0.0,,
Tokyo,2020,1500.0,Freestyle,0,Men,AUT,Felix Auboeck,903.47,4,0.0,,
Tokyo,2020,100.0,Freestyle,0,Women,NED,Femke Heemskerk,52.79,4,0.0,,
London,2012,200.0,Backstroke,0,Men,CHN,Fenglin Zhang,115.59,4,0.0,,
Berlin,1936,100.0,Freestyle,0,Men,HUN,Ferenc Csik,57.6,1,0.0,,
London,1948,400.0,Freestyle,0,Women,BEL,Fernande Caroen,325.3,4,0.0,,
Tokyo,2020,200.0,Freestyle,0,Men,BRA,Fernando Scheffer,104.66,3,0.0,,
Atlanta,1996,50.0,Freestyle,0,Men,BRA,Fernando Scherer,22.29,3,0.0,,
Atlanta,1996,100.0,Freestyle,0,Men,BRA,Fernando Scherer,49.57,4,0.0,,
Athens,2004,100.0,Freestyle,0,Men,ITA,Filippo Magnini,48.99,4,0.0,,
Amsterdam,1928,200.0,Breaststroke,0,Women,POL,Fitzówna Fitzówna,,0,0.0,,
Athens,2004,50.0,Freestyle,0,Women,BRA,Flavia Cazziolato,25.2,4,0.0,,
Sydney,2000,800.0,Freestyle,0,Women,SUI,Flavia Rigamonti,505.91,4,0.0,,
Paris,1924,100.0,Backstroke,0,Women,USA,Florence Chambers,90.8,4,0.0,,
London,2012,50.0,Freestyle,0,Men,FRA,Florent Manaudou,21.34,1,0.0,,
Rio,2016,50.0,Freestyle,0,Men,FRA,Florent Manaudou,21.41,2,1.0,21.34,21.34
Tokyo,2020,50.0,Freestyle,0,Men,FRA,Florent Manaudou,21.55,2,2.0,21.34,21.375
Tokyo,2020,800.0,Freestyle,0,Men,GER,Florian Wellbrock,462.68,4,0.0,,
Tokyo,2020,1500.0,Freestyle,0,Men,GER,Florian Wellbrock,880.91,3,0.0,,
London,1948,1500.0,Freestyle,0,Men,USA,Forbes Holten Jr. Norris,1218.8,4,0.0,,
Helsinki,1952,400.0,Freestyle,0,Men,USA,Ford Hiroshi Konno,271.3,2,0.0,,
Helsinki,1952,1500.0,Freestyle,0,Men,USA,Ford Hiroshi Konno,1110.3,1,0.0,,
Antwerp,1920,100.0,Freestyle,0,Women,USA,Frances Schroth,77.2,4,0.0,,
London,2012,50.0,Freestyle,0,Women,GBR,Francesca Halsall,24.47,4,0.0,,
Rio,2016,50.0,Freestyle,0,Women,GBR,Francesca Halsall,24.13,4,1.0,24.47,24.47
Beijing,2008,100.0,Freestyle,0,Women,GBR,Francesca Halsall,54.29,4,0.0,,
London,2012,100.0,Freestyle,0,Women,GBR,Francesca Halsall,53.66,4,1.0,54.29,54.29
Atlanta,1996,50.0,Freestyle,0,Men,VEN,Francisco Sanchez,22.72,4,0.0,,
Atlanta,1996,100.0,Freestyle,0,Men,VEN,Francisco Sanchez,49.84,4,0.0,,
Barcelona,1992,200.0,Butterfly,0,Men,FRA,Franck Esposito,118.509999,3,0.0,,
Atlanta,1996,200.0,Butterfly,0,Men,FRA,Franck Esposito,118.1,4,1.0,118.509999,118.509999
Sydney,2000,200.0,Butterfly,0,Men,FRA,Franck Esposito,118.39,4,2.0,118.1,118.3049995
Angeles,1984,400.0,Freestyle,0,Men,FRA,Franck Iacono,234.579999,4,0.0,,
Angeles,1984,1500.0,Freestyle,0,Men,FRA,Franck Iacono,926.96,4,0.0,,
Barcelona,1992,100.0,Backstroke,0,Men,FRA,Franck Schott,55.72,4,0.0,,
