Gender,Event,Location,Year,Medal,Name,Nationality,NOC,Result
M,100 metres,Amsterdam,1928,B,Georg LAMMERS,GER,GER,10.9
W,100 metres,Amsterdam,1928,B,Ethel SMITH,CAN,CAN,
M,100 metres,Amsterdam,1928,None,Eduardo Albe,ARG,ARG,
M,100 metres,Amsterdam,1928,None,Alberto Barucco,ARG,ARG,
M,100 metres,Amsterdam,1928,None,Juan Bautista Pina,ARG,ARG,
W,100 metres,Amsterdam,1928,None,Edie Robinson,AUS,AUS,
M,100 metres,Amsterdam,1928,None,Jimmy Carlton,AUS,AUS,
M,100 metres,Amsterdam,1928,None,Hermann Geißler,AUT,AUT,
W,100 metres,Amsterdam,1928,None,Elise Van Truÿen,BEL,BEL,
W,100 metres,Amsterdam,1928,None,Sidonia Verschueren,BEL,BEL,
M,100 metres,Amsterdam,1928,None,Paul Brochart,BEL,BEL,
M,100 metres,Amsterdam,1928,None,Willy Dujardin,BEL,BEL,
M,100 metres,Amsterdam,1928,None,Adolphe Groscol,BEL,BEL,
M,100 metres,Amsterdam,1928,None,Fred Zinner,BEL,BEL,
W,100 metres,Amsterdam,1928,None,Jane Bell,CAN,CAN,
W,100 metres,Amsterdam,1928,None,Myrtle Cook,CAN,CAN,
M,100 metres,Amsterdam,1928,None,Ralph Adams,CAN,CAN,
M,100 metres,Amsterdam,1928,None,Johnny Fitzpatrick,CAN,CAN,
M,100 metres,Amsterdam,1928,None,Buck Hester,CAN,CAN,
M,100 metres,Amsterdam,1928,None,Óscar Alvarado,CHI,CHI,
M,100 metres,Amsterdam,1928,None,Rodolfo Wagner,CHI,CHI,
M,100 metres,Amsterdam,1928,None,José Barrientos,CUB,CUB,
M,100 metres,Amsterdam,1928,None,Leo Jørgensen,DEN,DEN,
M,100 metres,Amsterdam,1928,None,Enrique de Chávarri,ESP,ESP,
M,100 metres,Amsterdam,1928,None,Fernando Muñagorri,ESP,ESP,
M,100 metres,Amsterdam,1928,None,Diego Ordóñez,ESP,ESP,
M,100 metres,Amsterdam,1928,None,Juan Serrahima,ESP,ESP,
M,100 metres,Amsterdam,1928,None,Risto Mattila,FIN,FIN,
W,100 metres,Amsterdam,1928,None,Georgette Gagneux,FRA,FRA,
W,100 metres,Amsterdam,1928,None,Yolande Plancke,FRA,FRA,
W,100 metres,Amsterdam,1928,None,Marguerite Radideau,FRA,FRA,
W,100 metres,Amsterdam,1928,None,Lucienne Velu,FRA,FRA,
M,100 metres,Amsterdam,1928,None,Gilbert Auvergne,FRA,FRA,
M,100 metres,Amsterdam,1928,None,André Cerbonney,FRA,FRA,
M,100 metres,Amsterdam,1928,None,André Dufau,FRA,FRA,
M,100 metres,Amsterdam,1928,None,André Mourlon,FRA,FRA,
M,100 metres,Amsterdam,1928,None,Cyril Gill,GBR,GBR,
M,100 metres,Amsterdam,1928,None,John Heap,GBR,GBR,
M,100 metres,Amsterdam,1928,None,Walter Rangeley,GBR,GBR,
W,100 metres,Amsterdam,1928,None,Anni Holdmann,GER,GER,
W,100 metres,Amsterdam,1928,None,Leni Junker,GER,GER,
W,100 metres,Amsterdam,1928,None,Leni Schmidt,GER,GER,
W,100 metres,Amsterdam,1928,None,Erna Steinberg,GER,GER,
M,100 metres,Amsterdam,1928,None,Richard Corts,GER,GER,
M,100 metres,Amsterdam,1928,None,Hubert Houben,GER,GER,
M,100 metres,Amsterdam,1928,None,Renos Fragkoudis,GRE,GRE,
M,100 metres,Amsterdam,1928,None,Angelos Lamprou,GRE,GRE,
M,100 metres,Amsterdam,1928,None,Nikolaos Papanikolaou,GRE,GRE,
M,100 metres,Amsterdam,1928,None,Konstantinos Petridis,GRE,GRE,
M,100 metres,Amsterdam,1928,None,André Théard,HAI,HAI,
M,100 metres,Amsterdam,1928,None,Ferenc Gerő,HUN,HUN,
M,100 metres,Amsterdam,1928,None,János Paizs,HUN,HUN,
M,100 metres,Amsterdam,1928,None,István Raggambi,HUN,HUN,
M,100 metres,Amsterdam,1928,None,Ronald Burns,IND,IND,
M,100 metres,Amsterdam,1928,None,Denis Cussen,IRL,IRL,
W,100 metres,Amsterdam,1928,None,Luigia Bonfanti,ITA,ITA,
W,100 metres,Amsterdam,1928,None,Matilde Moraschi,ITA,ITA,
W,100 metres,Amsterdam,1928,None,Derna Polazzo,ITA,ITA,
M,100 metres,Amsterdam,1928,None,Giuseppe Castelli,ITA,ITA,
M,100 metres,Amsterdam,1928,None,Franco Reiser,ITA,ITA,
M,100 metres,Amsterdam,1928,None,Edgardo Toetti,ITA,ITA,
W,100 metres,Amsterdam,1928,None,Kinue Hitomi,JPN,JPN,
M,100 metres,Amsterdam,1928,None,Iwao Aizawa,JPN,JPN,
W,100 metres,Amsterdam,1928,None,Zinaida Liepiņa,LAT,LAT,
W,100 metres,Amsterdam,1928,None,Paula Radziulytė,LTU,LTU,
M,100 metres,Amsterdam,1928,None,Haris Šveminas,LTU,LTU,
M,100 metres,Amsterdam,1928,None,Fritz Eyschen,LUX,LUX,
M,100 metres,Amsterdam,1928,None,Jean Moulin,LUX,LUX,
M,100 metres,Amsterdam,1928,None,Georges Schmit,LUX,LUX,
M,100 metres,Amsterdam,1928,None,Francisco Costas,MEX,MEX,
M,100 metres,Amsterdam,1928,None,Mario Gómez,MEX,MEX,
M,100 metres,Amsterdam,1928,None,Jesús Moraila,MEX,MEX,
W,100 metres,Amsterdam,1928,None,Lies Aengenendt,NED,NED,
W,100 metres,Amsterdam,1928,None,Rie Briejèr,NED,NED,
W,100 metres,Amsterdam,1928,None,Nettie Grooss,NED,NED,
W,100 metres,Amsterdam,1928,None,Bets ter Horst,NED,NED,
M,100 metres,Amsterdam,1928,None,Dolf Benz,NED,NED,
M,100 metres,Amsterdam,1928,None,Jaap Boot,NED,NED,
M,100 metres,Amsterdam,1928,None,Wim Hennings,NED,NED,
M,100 metres,Amsterdam,1928,None,Rinus van den Berge,NED,NED,
W,100 metres,Amsterdam,1928,None,Norma Wilson,NZL,NZL,
M,100 metres,Amsterdam,1928,None,Arthur Porritt,NZL,NZL,
M,100 metres,Amsterdam,1928,None,Anselmo Gonzaga,PHI,PHI,
M,100 metres,Amsterdam,1928,None,José Prata de Lima,POR,POR,
W,100 metres,Amsterdam,1928,None,Marjorie Clark,RSA,RSA,
M,100 metres,Amsterdam,1928,None,Sid Atkinson,RSA,RSA,
M,100 metres,Amsterdam,1928,None,Aubrey Burton-Durham,RSA,RSA,
M,100 metres,Amsterdam,1928,None,Billie Legg,RSA,RSA,
M,100 metres,Amsterdam,1928,None,Johannes Viljoen,RSA,RSA,
M,100 metres,Amsterdam,1928,None,Emmanuel Goldsmith,SUI,SUI,
M,100 metres,Amsterdam,1928,None,Willy Tschopp,SUI,SUI,
M,100 metres,Amsterdam,1928,None,Willy Weibel,SUI,SUI,
W,100 metres,Amsterdam,1928,None,Maud Sundberg,SWE,SWE,
W,100 metres,Amsterdam,1928,None,Ruth Svedberg,SWE,SWE,
M,100 metres,Amsterdam,1928,None,Johann Bartl,TCH,TCH,
M,100 metres,Amsterdam,1928,None,Karel Kněnický,TCH,TCH,
M,100 metres,Amsterdam,1928,None,Jaroslav Vykoupil,TCH,TCH,
M,100 metres,Amsterdam,1928,None,Mehmet Ali Aybar,TUR,TUR,
M,100 metres,Amsterdam,1928,None,Semih Türkdoğan,TUR,TUR,
W,100 metres,Amsterdam,1928,None,Elta Cartwright,USA,USA,
W,100 metres,Amsterdam,1928,None,Anne Vrana,USA,USA,
W,100 metres,Amsterdam,1928,None,Mary Washburn,USA,USA,
M,100 metres,Amsterdam,1928,None,Claude Bracey,USA,USA,
M,100 metres,Amsterdam,1928,None,Bob McAllister,USA,USA,
M,100 metres,Amsterdam,1928,None,Hank Russell,USA,USA,
M,100 metres,Amsterdam,1928,None,Frank Wykoff,USA,USA,
M,100 metres,Amsterdam,1928,None,Stane Perpar,YUG,YUG,
M,100 metres,Amsterdam,1928,None,Ladislau Peter,ROU,ROU,
M,100 metres,Amsterdam,1928,None,Şinasi Şahingiray,TUR,TUR,
M,10000 metres,Amsterdam,1928,G,Paavo NURMI,FIN,FIN,30:18.8
M,10000 metres,Amsterdam,1928,S,Ville RITOLA,FIN,FIN,30:19.4
M,10000 metres,Amsterdam,1928,B,Edvin WIDE,SWE,SWE,31:00.8
M,10000 metres,Amsterdam,1928,None,José Ribas,ARG,ARG,
M,10000 metres,Amsterdam,1928,None,George Hyde,AUS,AUS,
M,10000 metres,Amsterdam,1928,None,Julien Serwy,BEL,BEL,
M,10000 metres,Amsterdam,1928,None,Cliff Bricker,CAN,CAN,
M,10000 metres,Amsterdam,1928,None,Johnny Miles,CAN,CAN,
M,10000 metres,Amsterdam,1928,None,Harold Webster,CAN,CAN,
M,10000 metres,Amsterdam,1928,None,Carl Axel Holger Petersen,DEN,DEN,
M,10000 metres,Amsterdam,1928,None,Arturo Peña,ESP,ESP,
M,10000 metres,Amsterdam,1928,None,Toivo Loukola,FIN,FIN,
M,10000 metres,Amsterdam,1928,None,Kalle Matilainen,FIN,FIN,
M,10000 metres,Amsterdam,1928,None,Seghir Beddari,FRA,FRA,
M,10000 metres,Amsterdam,1928,None,Henri Dartigues,FRA,FRA,
M,10000 metres,Amsterdam,1928,None,Henri Lauvaux,FRA,FRA,
M,10000 metres,Amsterdam,1928,None,Robert Marchal,FRA,FRA,
M,10000 metres,Amsterdam,1928,None,Wally Beavers,GBR,GBR,
M,10000 metres,Amsterdam,1928,None,George Constable,GBR,GBR,
M,10000 metres,Amsterdam,1928,None,Arthur Muggridge,GBR,GBR,
M,10000 metres,Amsterdam,1928,None,Suttie Smith,GBR,GBR,
M,10000 metres,Amsterdam,1928,None,D. B. Chavan,IND,IND,
M,10000 metres,Amsterdam,1928,None,Juichi Nagatani,JPN,JPN,
M,10000 metres,Amsterdam,1928,None,Seiichiro Tsuda,JPN,JPN,
M,10000 metres,Amsterdam,1928,None,Staņislavs Petkevičs,LAT,LAT,
M,10000 metres,Amsterdam,1928,None,Johan Badendyck,NOR,NOR,
M,10000 metres,Amsterdam,1928,None,Danie Jacobs,RSA,RSA,
M,10000 metres,Amsterdam,1928,None,Jean-Gunnar Lindgren,SWE,SWE,
M,10000 metres,Amsterdam,1928,None,Ragnar Magnusson,SWE,SWE,
M,10000 metres,Amsterdam,1928,None,Karel Nedobitý,TCH,TCH,
M,10000 metres,Amsterdam,1928,None,Bill Agee,USA,USA,
M,10000 metres,Amsterdam,1928,None,Joie Ray,USA,USA,
M,10000 metres,Amsterdam,1928,None,John Romig,USA,USA,
M,10000 metres,Amsterdam,1928,None,Macauley Smith,USA,USA,
M,10000 metres,Amsterdam,1928,None,Josef Německý,TCH,TCH,
M,110 metres Hurdles,Amsterdam,1928,G,Sidney ATKINSON,RSA,RSA,14.8
M,110 metres Hurdles,Amsterdam,1928,S,Steve ANDERSON,USA,USA,14.8
M,110 metres Hurdles,Amsterdam,1928,B,John COLLIER,USA,USA,14.9
M,110 metres Hurdles,Amsterdam,1928,None,Valerio Vallanía,ARG,ARG,
M,110 metres Hurdles,Amsterdam,1928,None,Alf Watson,AUS,AUS,
M,110 metres Hurdles,Amsterdam,1928,None,Ludwig Veselý,AUT,AUT,
M,110 metres Hurdles,Amsterdam,1928,None,René Joannes-Powell,BEL,BEL,
M,110 metres Hurdles,Amsterdam,1928,None,Armand Lepaffe,BEL,BEL,
M,110 metres Hurdles,Amsterdam,1928,None,Alfredo Ugarte,CHI,CHI,
M,110 metres Hurdles,Amsterdam,1928,None,Herman Larsen,DEN,DEN,
M,110 metres Hurdles,Amsterdam,1928,None,Louis Lundgren,DEN,DEN,
M,110 metres Hurdles,Amsterdam,1928,None,Erkki Järvinen,FIN,FIN,
M,110 metres Hurdles,Amsterdam,1928,None,Bengt Sjöstedt,FIN,FIN,
M,110 metres Hurdles,Amsterdam,1928,None,Gilbert Allart,FRA,FRA,
M,110 metres Hurdles,Amsterdam,1928,None,Robert Marchand,FRA,FRA,
M,110 metres Hurdles,Amsterdam,1928,None,Gabriel Sempé,FRA,FRA,
M,110 metres Hurdles,Amsterdam,1928,None,Roger Viel,FRA,FRA,
M,110 metres Hurdles,Amsterdam,1928,None,David\, Lord Burghley,GBR,GBR,
M,110 metres Hurdles,Amsterdam,1928,None,Fred Gaby,GBR,GBR,
M,110 metres Hurdles,Amsterdam,1928,None,Bernard Lucas,GBR,GBR,
M,110 metres Hurdles,Amsterdam,1928,None,Douglas Neame,GBR,GBR,
M,110 metres Hurdles,Amsterdam,1928,None,Hans Steinhardt,GER,GER,
M,110 metres Hurdles,Amsterdam,1928,None,Vangelis Moiropoulos,GRE,GRE,
M,110 metres Hurdles,Amsterdam,1928,None,S. Abdul Hamid,IND,IND,
M,110 metres Hurdles,Amsterdam,1928,None,Alister Clark,IRL,IRL,
M,110 metres Hurdles,Amsterdam,1928,None,Giacomo Carlini,ITA,ITA,
M,110 metres Hurdles,Amsterdam,1928,None,Yoshio Miki,JPN,JPN,
M,110 metres Hurdles,Amsterdam,1928,None,Jan Britstra,NED,NED,
M,110 metres Hurdles,Amsterdam,1928,None,Arie Kaan,NED,NED,
M,110 metres Hurdles,Amsterdam,1928,None,Lau Spel,NED,NED,
M,110 metres Hurdles,Amsterdam,1928,None,Arie van Leeuwen,NED,NED,
M,110 metres Hurdles,Amsterdam,1928,None,Wilfred Kalaugher,NZL,NZL,
M,110 metres Hurdles,Amsterdam,1928,None,Wojciech Trojanowski,POL,POL,
M,110 metres Hurdles,Amsterdam,1928,None,José Palhares Costa,POR,POR,
M,110 metres Hurdles,Amsterdam,1928,None,Lothar Albrich,ROU,ROU,
M,110 metres Hurdles,Amsterdam,1928,None,Otto Schöpp,ROU,ROU,
M,110 metres Hurdles,Amsterdam,1928,None,Johannes Viljoen,RSA,RSA,
M,110 metres Hurdles,Amsterdam,1928,None,George Weightman-Smith,RSA,RSA,
M,110 metres Hurdles,Amsterdam,1928,None,Albert Andersson,SWE,SWE,
M,110 metres Hurdles,Amsterdam,1928,None,Erik Kjellström,SWE,SWE,
M,110 metres Hurdles,Amsterdam,1928,None,Sten Pettersson,SWE,SWE,
M,110 metres Hurdles,Amsterdam,1928,None,Eric Wennström,SWE,SWE,
M,110 metres Hurdles,Amsterdam,1928,None,Otakar Jandera,TCH,TCH,
M,110 metres Hurdles,Amsterdam,1928,None,Leighton Dye,USA,USA,
M,110 metres Hurdles,Amsterdam,1928,None,Carl Ring,USA,USA,
M,110 metres Hurdles,Amsterdam,1928,None,Branko Kallay,YUG,YUG,
M,1500 metres,Amsterdam,1928,G,Harri LARVA,FIN,FIN,3:53.2
M,1500 metres,Amsterdam,1928,S,Jules LADOUMEGUE,FRA,FRA,3:53.8
M,1500 metres,Amsterdam,1928,B,Eino PURJE,FIN,FIN,3:56.4
M,1500 metres,Amsterdam,1928,None,Serafín Dengra,ARG,ARG,
M,1500 metres,Amsterdam,1928,None,Leopoldo Ledesma,ARG,ARG,
M,1500 metres,Amsterdam,1928,None,George Hyde,AUS,AUS,
M,1500 metres,Amsterdam,1928,None,William Whyte,AUS,AUS,
M,1500 metres,Amsterdam,1928,None,Philippe Coenjaerts,BEL,BEL,
M,1500 metres,Amsterdam,1928,None,Alex Docherty,CAN,CAN,
M,1500 metres,Amsterdam,1928,None,David Griffin,CAN,CAN,
M,1500 metres,Amsterdam,1928,None,Jack Walter,CAN,CAN,
M,1500 metres,Amsterdam,1928,None,Pete Walter,CAN,CAN,
M,1500 metres,Amsterdam,1928,None,Albert Larsen,DEN,DEN,
M,1500 metres,Amsterdam,1928,None,Joaquín Miquel,ESP,ESP,
M,1500 metres,Amsterdam,1928,None,Jesús Oyarbide,ESP,ESP,
M,1500 metres,Amsterdam,1928,None,Leo Helgas,FIN,FIN,
M,1500 metres,Amsterdam,1928,None,Armas Kinnunen,FIN,FIN,
M,1500 metres,Amsterdam,1928,None,Georges Baraton,FRA,FRA,
M,1500 metres,Amsterdam,1928,None,Jean Keller,FRA,FRA,
M,1500 metres,Amsterdam,1928,None,Séra Martin,FRA,FRA,
M,1500 metres,Amsterdam,1928,None,Stan Ashby,GBR,GBR,
M,1500 metres,Amsterdam,1928,None,Reggie Bell,GBR,GBR,
M,1500 metres,Amsterdam,1928,None,Cyril Ellis,GBR,GBR,
M,1500 metres,Amsterdam,1928,None,Reg Thomas,GBR,GBR,
M,1500 metres,Amsterdam,1928,None,Herbert Böcher,GER,GER,
M,1500 metres,Amsterdam,1928,None,Helmut Krause,GER,GER,
M,1500 metres,Amsterdam,1928,None,Otto Peltzer,GER,GER,
M,1500 metres,Amsterdam,1928,None,Hans Wichmann,GER,GER,
M,1500 metres,Amsterdam,1928,None,Grigorios Georgakopoulos,GRE,GRE,
M,1500 metres,Amsterdam,1928,None,Antonios Mangos,GRE,GRE,
M,1500 metres,Amsterdam,1928,None,Andreas Paouris,GRE,GRE,
M,1500 metres,Amsterdam,1928,None,Vasilios Stavrinos,GRE,GRE,
M,1500 metres,Amsterdam,1928,None,Gyula Belloni,HUN,HUN,
M,1500 metres,Amsterdam,1928,None,József Marton,HUN,HUN,
M,1500 metres,Amsterdam,1928,None,Gurbachan Singh,IND,IND,
M,1500 metres,Amsterdam,1928,None,Gerry Coughlan,IRL,IRL,
M,1500 metres,Amsterdam,1928,None,Luigi Beccali,ITA,ITA,
M,1500 metres,Amsterdam,1928,None,Juichi Nagatani,JPN,JPN,
M,1500 metres,Amsterdam,1928,None,Ciro Chapa,MEX,MEX,
M,1500 metres,Amsterdam,1928,None,Frédéric du Hen,NED,NED,
M,1500 metres,Amsterdam,1928,None,Wilhelm Effern,NED,NED,
M,1500 metres,Amsterdam,1928,None,Guus Zeegers,NED,NED,
M,1500 metres,Amsterdam,1928,None,Jan Zeegers,NED,NED,
M,1500 metres,Amsterdam,1928,None,Reidar Jørgensen,NOR,NOR,
M,1500 metres,Amsterdam,1928,None,Czesław Foryś,POL,POL,
M,1500 metres,Amsterdam,1928,None,Józef Jaworski,POL,POL,
M,1500 metres,Amsterdam,1928,None,Danie Jacobs,RSA,RSA,
M,1500 metres,Amsterdam,1928,None,Paul Martin,SUI,SUI,
M,1500 metres,Amsterdam,1928,None,Edvin Wide,SWE,SWE,
M,1500 metres,Amsterdam,1928,None,Adolf Kittel,TCH,TCH,
M,1500 metres,Amsterdam,1928,None,Vilém Šindler,TCH,TCH,
M,1500 metres,Amsterdam,1928,None,Ömer Besim Koşalay,TUR,TUR,
M,1500 metres,Amsterdam,1928,None,Nick Carter,USA,USA,
M,1500 metres,Amsterdam,1928,None,Ray Conger,USA,USA,
M,1500 metres,Amsterdam,1928,None,Lloyd Hahn,USA,USA,
M,1500 metres,Amsterdam,1928,None,Sid Robinson,USA,USA,
M,1500 metres,Amsterdam,1928,None,Luka Predanić,YUG,YUG,
M,200 metres,Amsterdam,1928,G,Percy WILLIAMS,CAN,CAN,21.8
M,200 metres,Amsterdam,1928,S,Walter RANGELEY,GBR,GBR,21.9
M,200 metres,Amsterdam,1928,B,Helmut KÃRNIG,GER,GER,21.9
M,200 metres,Amsterdam,1928,None,Eduardo Albe,ARG,ARG,
M,200 metres,Amsterdam,1928,None,Alberto Barucco,ARG,ARG,
M,200 metres,Amsterdam,1928,None,Juan Bautista Pina,ARG,ARG,
M,200 metres,Amsterdam,1928,None,Jimmy Carlton,AUS,AUS,
M,200 metres,Amsterdam,1928,None,Hermann Geißler,AUT,AUT,
M,200 metres,Amsterdam,1928,None,Paul Brochart,BEL,BEL,
M,200 metres,Amsterdam,1928,None,Willy Dujardin,BEL,BEL,
M,200 metres,Amsterdam,1928,None,Adolphe Groscol,BEL,BEL,
M,200 metres,Amsterdam,1928,None,Frans Prinsen,BEL,BEL,
M,200 metres,Amsterdam,1928,None,Ralph Adams,CAN,CAN,
M,200 metres,Amsterdam,1928,None,Johnny Fitzpatrick,CAN,CAN,
M,200 metres,Amsterdam,1928,None,Buck Hester,CAN,CAN,
M,200 metres,Amsterdam,1928,None,Alex Hannig,CHI,CHI,
M,200 metres,Amsterdam,1928,None,Rodolfo Wagner,CHI,CHI,
M,200 metres,Amsterdam,1928,None,José Barrientos,CUB,CUB,
M,200 metres,Amsterdam,1928,None,Enrique de Chávarri,ESP,ESP,
M,200 metres,Amsterdam,1928,None,Fernando Muñagorri,ESP,ESP,
M,200 metres,Amsterdam,1928,None,Diego Ordóñez,ESP,ESP,
M,200 metres,Amsterdam,1928,None,Juan Serrahima,ESP,ESP,
M,200 metres,Amsterdam,1928,None,Reijo Halme,FIN,FIN,
M,200 metres,Amsterdam,1928,None,André Cerbonney,FRA,FRA,
M,200 metres,Amsterdam,1928,None,Maurice Degrelle,FRA,FRA,
M,200 metres,Amsterdam,1928,None,Jérôme Mannaert,FRA,FRA,
M,200 metres,Amsterdam,1928,None,André Mourlon,FRA,FRA,
M,200 metres,Amsterdam,1928,None,Guy Butler,GBR,GBR,
M,200 metres,Amsterdam,1928,None,Cyril Gill,GBR,GBR,
M,200 metres,Amsterdam,1928,None,Jack Hambidge,GBR,GBR,
M,200 metres,Amsterdam,1928,None,Hermann Schlöske,GER,GER,
M,200 metres,Amsterdam,1928,None,Jakob Schüller,GER,GER,
M,200 metres,Amsterdam,1928,None,Renos Fragkoudis,GRE,GRE,
M,200 metres,Amsterdam,1928,None,Angelos Lamprou,GRE,GRE,
M,200 metres,Amsterdam,1928,None,Vasilios Stavrinos,GRE,GRE,
M,200 metres,Amsterdam,1928,None,André Théard,HAI,HAI,
M,200 metres,Amsterdam,1928,None,Ferenc Gerő,HUN,HUN,
M,200 metres,Amsterdam,1928,None,János Paizs,HUN,HUN,
M,200 metres,Amsterdam,1928,None,István Raggambi,HUN,HUN,
M,200 metres,Amsterdam,1928,None,István Sugár,HUN,HUN,
M,200 metres,Amsterdam,1928,None,Ronald Burns,IND,IND,
M,200 metres,Amsterdam,1928,None,James Hall,IND,IND,
M,200 metres,Amsterdam,1928,None,Donald Cullen,IRL,IRL,
M,200 metres,Amsterdam,1928,None,Sean Lavan,IRL,IRL,
M,200 metres,Amsterdam,1928,None,Giuseppe Castelli,ITA,ITA,
M,200 metres,Amsterdam,1928,None,Edgardo Toetti,ITA,ITA,
M,200 metres,Amsterdam,1928,None,Iwao Aizawa,JPN,JPN,
M,200 metres,Amsterdam,1928,None,Haris Šveminas,LTU,LTU,
M,200 metres,Amsterdam,1928,None,Jean Moulin,LUX,LUX,
M,200 metres,Amsterdam,1928,None,Georges Schmit,LUX,LUX,
M,200 metres,Amsterdam,1928,None,Francisco Costas,MEX,MEX,
M,200 metres,Amsterdam,1928,None,Mario Gómez,MEX,MEX,
M,200 metres,Amsterdam,1928,None,Harry Broos,NED,NED,
M,200 metres,Amsterdam,1928,None,Wim Hennings,NED,NED,
M,200 metres,Amsterdam,1928,None,Rinus van den Berge,NED,NED,
M,200 metres,Amsterdam,1928,None,Arthur Porritt,NZL,NZL,
M,200 metres,Amsterdam,1928,None,Anselmo Gonzaga,PHI,PHI,
M,200 metres,Amsterdam,1928,None,José Prata de Lima,POR,POR,
M,200 metres,Amsterdam,1928,None,Aubrey Burton-Durham,RSA,RSA,
M,200 metres,Amsterdam,1928,None,Howard Kinsman,RSA,RSA,
M,200 metres,Amsterdam,1928,None,Billie Legg,RSA,RSA,
M,200 metres,Amsterdam,1928,None,Hans Niggl,SUI,SUI,
M,200 metres,Amsterdam,1928,None,Willy Tschopp,SUI,SUI,
M,200 metres,Amsterdam,1928,None,Willy Weibel,SUI,SUI,
M,200 metres,Amsterdam,1928,None,Björn Kugelberg,SWE,SWE,
M,200 metres,Amsterdam,1928,None,Johann Bartl,TCH,TCH,
M,200 metres,Amsterdam,1928,None,Karel Kněnický,TCH,TCH,
M,200 metres,Amsterdam,1928,None,Jaroslav Vykoupil,TCH,TCH,
M,200 metres,Amsterdam,1928,None,Charley Borah,USA,USA,
M,200 metres,Amsterdam,1928,None,Henry Cumming,USA,USA,
M,200 metres,Amsterdam,1928,None,Charley Paddock,USA,USA,
M,200 metres,Amsterdam,1928,None,Jackson Scholz,USA,USA,
M,200 metres,Amsterdam,1928,None,Ladislau Peter,ROU,ROU,
M,3000 metres Steeplechase,Amsterdam,1928,G,Toivo LOUKOLA,FIN,FIN,9:21.8
M,3000 metres Steeplechase,Amsterdam,1928,S,Paavo NURMI,FIN,FIN,9:31.2
M,3000 metres Steeplechase,Amsterdam,1928,B,Ove ANDERSEN,FIN,FIN,9:35.6
M,3000 metres Steeplechase,Amsterdam,1928,None,George Hyde,AUS,AUS,
M,3000 metres Steeplechase,Amsterdam,1928,None,Jozef Langenus,BEL,BEL,
M,3000 metres Steeplechase,Amsterdam,1928,None,Edgard Viseur,BEL,BEL,
M,3000 metres Steeplechase,Amsterdam,1928,None,Vincent Callard,CAN,CAN,
M,3000 metres Steeplechase,Amsterdam,1928,None,David Griffin,CAN,CAN,
M,3000 metres Steeplechase,Amsterdam,1928,None,Art Keay,CAN,CAN,
M,3000 metres Steeplechase,Amsterdam,1928,None,Billy Kibblewhite,CAN,CAN,
M,3000 metres Steeplechase,Amsterdam,1928,None,Ville Ritola,FIN,FIN,
M,3000 metres Steeplechase,Amsterdam,1928,None,Paul Bontemps,FRA,FRA,
M,3000 metres Steeplechase,Amsterdam,1928,None,Henri Dartigues,FRA,FRA,
M,3000 metres Steeplechase,Amsterdam,1928,None,Lucien Duquesne,FRA,FRA,
M,3000 metres Steeplechase,Amsterdam,1928,None,Maurice Norland,FRA,FRA,
M,3000 metres Steeplechase,Amsterdam,1928,None,Norman Biddulph,GBR,GBR,
M,3000 metres Steeplechase,Amsterdam,1928,None,Joe Blewitt,GBR,GBR,
M,3000 metres Steeplechase,Amsterdam,1928,None,Vernon Morgan,GBR,GBR,
M,3000 metres Steeplechase,Amsterdam,1928,None,Henry Oliver,GBR,GBR,
M,3000 metres Steeplechase,Amsterdam,1928,None,Gurbachan Singh,IND,IND,
M,3000 metres Steeplechase,Amsterdam,1928,None,Gerry Coughlan,IRL,IRL,
M,3000 metres Steeplechase,Amsterdam,1928,None,Nello Bartolini,ITA,ITA,
M,3000 metres Steeplechase,Amsterdam,1928,None,Henrique Santos,POR,POR,
M,3000 metres Steeplechase,Amsterdam,1928,None,Nils Eklöf,SWE,SWE,
M,3000 metres Steeplechase,Amsterdam,1928,None,Jean-Gunnar Lindgren,SWE,SWE,
M,3000 metres Steeplechase,Amsterdam,1928,None,Edvin Wide,SWE,SWE,
M,3000 metres Steeplechase,Amsterdam,1928,None,Melvin Dalton,USA,USA,
M,3000 metres Steeplechase,Amsterdam,1928,None,Walter Gegan,USA,USA,
M,3000 metres Steeplechase,Amsterdam,1928,None,Jesse Montgomery,USA,USA,
M,3000 metres Steeplechase,Amsterdam,1928,None,William Spencer,USA,USA,
M,3000 metres Steeplechase,Amsterdam,1928,None,Josef Německý,TCH,TCH,
M,4 × 100 metres Relay,Amsterdam,1928,None,Eduardo Albe,ARG,ARG,
M,4 × 100 metres Relay,Amsterdam,1928,None,Alberto Barucco,ARG,ARG,
M,4 × 100 metres Relay,Amsterdam,1928,None,Juan Bautista Pina,ARG,ARG,
M,4 × 100 metres Relay,Amsterdam,1928,None,Valerio Vallanía,ARG,ARG,
W,4 × 100 metres Relay,Amsterdam,1928,None,Lucie Petit-Diagre,BEL,BEL,
W,4 × 100 metres Relay,Amsterdam,1928,None,Juliette Segers,BEL,BEL,
W,4 × 100 metres Relay,Amsterdam,1928,None,Léontine Stevens,BEL,BEL,
W,4 × 100 metres Relay,Amsterdam,1928,None,Rose Van Crombrugge,BEL,BEL,
W,4 × 100 metres Relay,Amsterdam,1928,None,Elise Van Truÿen,BEL,BEL,
W,4 × 100 metres Relay,Amsterdam,1928,None,Sidonia Verschueren,BEL,BEL,
M,4 × 100 metres Relay,Amsterdam,1928,None,Paul Brochart,BEL,BEL,
