Gender,Event,Location,Year,Medal,Name,Nationality,NOC,Result
M,Discus Throw,Athens,1896,None,Georgios Papasideris,GRE,GRE,
M,Discus Throw,Athens,1896,None,Henrik Sjöberg,SWE,SWE,
M,High Jump,Athens,1896,G,Ellery CLARK,USA,USA,1.81
M,High Jump,Athens,1896,S,Robert GARRETT,USA,USA,1.65
M,High Jump,Athens,1896,S,James CONNOLLY,USA,USA,1.65
M,High Jump,Athens,1896,None,Fritz Traun,GER,GER,
M,High Jump,Athens,1896,None,Fritz Hofmann,GER,GER,
M,High Jump,Athens,1896,None,Harald Arbin,SWE,SWE,
M,High Jump,Athens,1896,None,Kurt Doerry,GER,GER,
M,High Jump,Athens,1896,None,Carl Galle,GER,GER,
M,High Jump,Athens,1896,None,Carl Schuhmann,GER,GER,
M,High Jump,Athens,1896,None,Alajos Szokoly,HUN,HUN,
M,High Jump,Athens,1896,None,Henrik Sjöberg,SWE,SWE,
M,Long Jump,Athens,1896,G,Ellery CLARK,USA,USA,6.35
M,Long Jump,Athens,1896,S,Robert GARRETT,USA,USA,6.18
M,Long Jump,Athens,1896,B,James CONNOLLY,USA,USA,6.11
M,Long Jump,Athens,1896,None,Fritz Traun,GER,GER,
M,Long Jump,Athens,1896,None,Fritz Hofmann,GER,GER,
M,Long Jump,Athens,1896,None,Adolphe Grisel,FRA,FRA,
M,Long Jump,Athens,1896,None,Harald Arbin,SWE,SWE,
M,Long Jump,Athens,1896,None,Alexandre Tuffèri,FRA,FRA,
M,Long Jump,Athens,1896,None,Kurt Doerry,GER,GER,
M,Long Jump,Athens,1896,None,Carl Galle,GER,GER,
M,Long Jump,Athens,1896,None,Carl Schuhmann,GER,GER,
M,Long Jump,Athens,1896,None,Alexandros Chalkokondylis,GRE,GRE,
M,Long Jump,Athens,1896,None,Athanasios Skaltsogiannis,GRE,GRE,
M,Long Jump,Athens,1896,None,Nándor Dáni,HUN,HUN,
M,Long Jump,Athens,1896,None,Alajos Szokoly,HUN,HUN,
M,Long Jump,Athens,1896,None,Henrik Sjöberg,SWE,SWE,
M,Long Jump,Athens,1896,None,Tom Curtis,USA,USA,
M,Marathon,Athens,1896,G,Spyridon LOUIS,GRE,GRE,2-58:50
M,Marathon,Athens,1896,S,Kharilaos VASILAKOS,GRE,GRE,3-06:03
M,Marathon,Athens,1896,B,Gyula KELLNER,HUN,HUN,3-06:35
M,Marathon,Athens,1896,None,Teddy Flack,AUS,AUS,
M,Marathon,Athens,1896,None,Albin Lermusiaux,FRA,FRA,
M,Marathon,Athens,1896,None,Carl Galle,GER,GER,
M,Marathon,Athens,1896,None,Spyridon Belokas,GRE,GRE,
M,Marathon,Athens,1896,None,Dimitrios Deligiannis,GRE,GRE,
M,Marathon,Athens,1896,None,Evangelos Gerakakis,GRE,GRE,
M,Marathon,Athens,1896,None,Georgios Grigoriou,GRE,GRE,
M,Marathon,Athens,1896,None,Ilias Kafetzis,GRE,GRE,
M,Marathon,Athens,1896,None,Sokratis Lagoudakis,GRE,GRE,
M,Marathon,Athens,1896,None,Georgios Lavrentis,GRE,GRE,
M,Marathon,Athens,1896,None,Stamatios Masouris,GRE,GRE,
M,Marathon,Athens,1896,None,Eleftherios Papasymeon,GRE,GRE,
M,Marathon,Athens,1896,None,Ioannis Vrettos,GRE,GRE,
M,Marathon,Athens,1896,None,Arthur C. Blake,USA,USA,
M,Marathon,Athens,1896,None,Dimitrios Christopoulos,GRE,GRE,
M,Military Pistol 25 metres,Athens,1896,None,Holger Nielsen,DEN,DEN,
M,Military Rifle 200 metres,Athens,1896,None,Viggo Jensen,DEN,DEN,
M,Military Rifle 200 metres,Athens,1896,None,Albin Lermusiaux,FRA,FRA,
M,Military Rifle 200 metres,Athens,1896,None,Holger Nielsen,DEN,DEN,
M,Military Rifle 200 metres,Athens,1896,None,Eugen Schmidt,DEN,DEN,
M,Pole Vault,Athens,1896,G,William Welles HOYT,USA,USA,3.3
M,Pole Vault,Athens,1896,S,Albert TYLER,USA,USA,3.2
M,Pole Vault,Athens,1896,B,Evangelos DAMASKOS,GRE,GRE,2.6
M,Pole Vault,Athens,1896,B,Ioannis THEODOROPOULOS,GRE,GRE,2.6
M,Pole Vault,Athens,1896,None,Fritz Traun,GER,GER,
M,Pole Vault,Athens,1896,None,Fritz Hofmann,GER,GER,
M,Pole Vault,Athens,1896,None,Kurt Doerry,GER,GER,
M,Pole Vault,Athens,1896,None,Carl Galle,GER,GER,
M,Pole Vault,Athens,1896,None,Carl Schuhmann,GER,GER,
M,Pole Vault,Athens,1896,None,Vasilios Xydas,GRE,GRE,
M,Pole Vault,Athens,1896,None,Alajos Szokoly,HUN,HUN,
M,Shot Put,Athens,1896,G,Robert GARRETT,USA,USA,11.22
M,Shot Put,Athens,1896,S,Miltiadis GOUSKOS,GRE,GRE,11.2
M,Shot Put,Athens,1896,B,Georgios PAPASIDERIS,GRE,GRE,10.36
M,Shot Put,Athens,1896,None,Fritz Hofmann,GER,GER,
M,Shot Put,Athens,1896,None,Viggo Jensen,DEN,DEN,
M,Shot Put,Athens,1896,None,Holger Nielsen,DEN,DEN,
M,Shot Put,Athens,1896,None,Adolphe Grisel,FRA,FRA,
M,Shot Put,Athens,1896,None,George Stuart Robertson,GBR,GBR,
M,Shot Put,Athens,1896,None,Carl Schuhmann,GER,GER,
M,Shot Put,Athens,1896,None,Ellery Clark,USA,USA,
M,Triple Jump,Athens,1896,G,James CONNOLLY,USA,USA,13.71
M,Triple Jump,Athens,1896,S,Alexandre TUFFERI,FRA,FRA,12.7
M,Triple Jump,Athens,1896,B,Ioannis PERSAKIS,GRE,GRE,12.52
M,Triple Jump,Athens,1896,None,Fritz Traun,GER,GER,
M,Triple Jump,Athens,1896,None,Fritz Hofmann,GER,GER,
M,Triple Jump,Athens,1896,None,Adolphe Grisel,FRA,FRA,
M,Triple Jump,Athens,1896,None,Carl Schuhmann,GER,GER,
M,Triple Jump,Athens,1896,None,Christos Zoumis,GRE,GRE,
M,Triple Jump,Athens,1896,None,Alajos Szokoly,HUN,HUN,
M,100 metres,Paris,1900,G,Frank JARVIS,USA,USA,11.0
M,100 metres,Paris,1900,S,Walter TEWKSBURY,USA,USA,11.1
M,100 metres,Paris,1900,B,Stanley ROWLEY,AUS,AUS,11.2
M,100 metres,Paris,1900,None,Stan Rowley,AUS,AUS,
M,100 metres,Paris,1900,None,Fernand Halbart,BEL,BEL,
M,100 metres,Paris,1900,None,Václav Nový,BOH,BOH,
M,100 metres,Paris,1900,None,Johannes Gandil,DEN,DEN,
M,100 metres,Paris,1900,None,Johannes Gandil,DEN,DEN,
M,100 metres,Paris,1900,None,Ernst Schultz,DEN,DEN,
M,100 metres,Paris,1900,None,Ernst Schultz,DEN,DEN,
M,100 metres,Paris,1900,None,Adolphe Klingelhoefer,FRA,FRA,
M,100 metres,Paris,1900,None,Kurt Doerry,GER,GER,
M,100 metres,Paris,1900,None,Kurt Doerry,GER,GER,
M,100 metres,Paris,1900,None,Julius Keyl,GER,GER,
M,100 metres,Paris,1900,None,Julius Keyl,GER,GER,
M,100 metres,Paris,1900,None,Albert Werkmüller,GER,GER,
M,100 metres,Paris,1900,None,Pál Koppán,HUN,HUN,
M,100 metres,Paris,1900,None,Pál Koppán,HUN,HUN,
M,100 metres,Paris,1900,None,Ernő Schubert,HUN,HUN,
M,100 metres,Paris,1900,None,Ernő Schubert,HUN,HUN,
M,100 metres,Paris,1900,None,Zoltán Speidl,HUN,HUN,
M,100 metres,Paris,1900,None,Zoltán Speidl,HUN,HUN,
M,100 metres,Paris,1900,None,Norman Pritchard,IND,IND,
M,100 metres,Paris,1900,None,Norman Pritchard,IND,IND,
M,100 metres,Paris,1900,None,Umberto Colombo,ITA,ITA,
M,100 metres,Paris,1900,None,Yngvar Bryn,NOR,NOR,
M,100 metres,Paris,1900,None,Isaac Westergren,SWE,SWE,
M,100 metres,Paris,1900,None,Isaac Westergren,SWE,SWE,
M,100 metres,Paris,1900,None,Dixon Boardman,USA,USA,
M,100 metres,Paris,1900,None,Charles Burroughs,USA,USA,
M,100 metres,Paris,1900,None,Arthur Duffey,USA,USA,
M,100 metres,Paris,1900,None,Bill Holland,USA,USA,
M,100 metres,Paris,1900,None,Al Kraenzlein,USA,USA,
M,100 metres,Paris,1900,None,Clark Leiblee,USA,USA,
M,100 metres,Paris,1900,None,Clark Leiblee,USA,USA,
M,100 metres,Paris,1900,None,Maxey Long,USA,USA,
M,100 metres,Paris,1900,None,Thaddeus McClain,USA,USA,
M,100 metres,Paris,1900,None,Thaddeus McClain,USA,USA,
M,100 metres,Paris,1900,None,Edmund Minahan,USA,USA,
M,100 metres,Paris,1900,None,Edmund Minahan,USA,USA,
M,100 metres,Paris,1900,None,Fred Moloney,USA,USA,
M,100 metres,Paris,1900,None,Meyer Prinstein,USA,USA,
M,100 metres,Paris,1900,None,Justus Scrafford,USA,USA,
M,100 metres,Paris,1900,None,Henry Slack,USA,USA,
M,110 metres Hurdles,Paris,1900,G,Alvin KRAENZLEIN,USA,USA,15.4
M,110 metres Hurdles,Paris,1900,S,John MCLEAN,USA,USA,15.5
M,110 metres Hurdles,Paris,1900,B,Frederick MOLONEY,USA,USA,15.6
M,110 metres Hurdles,Paris,1900,None,Karel Nedvěd,BOH,BOH,
M,110 metres Hurdles,Paris,1900,None,Eugène Choisel,FRA,FRA,
M,110 metres Hurdles,Paris,1900,None,Eugène Choisel,FRA,FRA,
M,110 metres Hurdles,Paris,1900,None,Adolphe Klingelhoefer,FRA,FRA,
M,110 metres Hurdles,Paris,1900,None,Adolphe Klingelhoefer,FRA,FRA,
M,110 metres Hurdles,Paris,1900,None,Émile Lécuyer,FRA,FRA,
M,110 metres Hurdles,Paris,1900,None,Henri Tauzin,FRA,FRA,
M,110 metres Hurdles,Paris,1900,None,Gustav Adolf Rau,GER,GER,
M,110 metres Hurdles,Paris,1900,None,Gustav Adolf Rau,GER,GER,
M,110 metres Hurdles,Paris,1900,None,Norman Pritchard,IND,IND,
M,110 metres Hurdles,Paris,1900,None,Norman Pritchard,IND,IND,
M,110 metres Hurdles,Paris,1900,None,Umberto Colombo,ITA,ITA,
M,110 metres Hurdles,Paris,1900,None,William Lewis,USA,USA,
