iter	MAE
161	4.66028863
162	4.647089819
163	4.620657345
164	4.593812203
165	4.586898822
166	4.532701013
167	4.500971917
168	4.485553343
169	4.479716534
170	4.457889528
171	4.452846467
172	4.42714365
173	4.411559443
174	4.389732744
175	4.34487137
176	4.339167096
177	4.296325411
178	4.266759782
179	4.243189656
180	4.237518022
181	4.199524051
182	4.189004359
183	4.156362742
184	4.152844106
185	4.134435841
186	4.125531466
187	4.106091868
188	4.093731315
189	4.079547384
190	4.054916509
191	4.046037882
192	4.043785298
193	4.039490273
194	4.035884951
195	3.999195192
196	3.992367957
197	3.987436157
198	3.979314215
199	3.977698704
200	3.974360895
201	3.972484456
202	3.963326593
203	3.959544731
204	3.947890278
205	3.933506114
206	3.927285817
207	3.923373554
208	3.919222037
209	3.916843326
210	3.915011017
211	3.890005999
212	3.872902566
213	3.847606214
214	3.846526344
215	3.817032203
216	3.802915022
217	3.801653507
218	3.800354116
219	3.777202279
220	3.753176511
221	3.74586158
222	3.717016142
223	3.703285168
224	3.698564907
225	3.691428085
226	3.667005861
227	3.65776777
228	3.651997607
229	3.648978465
230	3.637907347
231	3.622833767
232	3.61919669
233	3.617985116
234	3.61280507
235	3.61196484
236	3.606497003
237	3.599908748
238	3.598330647
239	3.595025363
240	3.592627902
241	3.585173398
242	3.577845987
243	3.574893892
244	3.569159301
245	3.559650296
246	3.556464945
247	3.546011584
248	3.538270195
249	3.537466311
250	3.533223827
251	3.528768541
252	3.52109398
253	3.520328895
254	3.51001918
255	3.505517504
256	3.499325743
257	3.495565555
258	3.494565811
259	3.492875311
260	3.486970416
261	3.47853656
262	3.46786343
263	3.458100821
264	3.439957463
265	3.436126875
266	3.422460357
267	3.420136754
268	3.41466048
269	3.409320809
270	3.408351129
271	3.400399545
272	3.394866574
273	3.387630068
274	3.385838596
275	3.384238342
276	3.378943666
277	3.375362235
278	3.368961994
279	3.367431974
280	3.366452192
281	3.338714195
282	3.333994031
283	3.328195154
284	3.326132523
285	3.323089117
286	3.320468114
287	3.318574569
288	3.317398396
289	3.313247937
290	3.307473285
291	3.302902852
292	3.301122974
293	3.286635163
294	3.280213565
295	3.278808412
296	3.266082478
297	3.262949546
298	3.259760809
299	3.256071562
300	3.254549918
301	3.244172737
302	3.242127934
303	3.237171623
304	3.231965968
305	3.230876473
306	3.225138984
307	3.222337562
308	3.219397721
309	3.217645349
310	3.214604032
311	3.21210148
312	3.209277195
313	3.207466344
314	3.206357431
315	3.204764082
316	3.202741262
317	3.201148276
318	3.195576818
319	3.193591987
320	3.191642561
321	3.189794337
322	3.187766611
323	3.182961384
324	3.181961699
325	3.177364646
326	3.176636216
327	3.172633097
328	3.171511177
329	3.168935282
330	3.168401281
331	3.162537302
332	3.160227006
333	3.159828152
334	3.159323354
335	3.154428645
336	3.152139441
337	3.15052473
338	3.150136668
339	3.146402026
340	3.145639272
341	3.145058563
342	3.142949466
343	3.142643332
344	3.141687162
345	3.140341567
346	3.137024483
347	3.135958112
348	3.129136766
349	3.128213723
350	3.127683029
351	3.12621284
352	3.125811059
353	3.115247174
354	3.108468868
355	3.107323531
356	3.104974799
357	3.103774568
358	3.099470245
359	3.096692296
360	3.096240226
361	3.093677912
362	3.092333688
363	3.090581945
364	3.08945387
365	3.088082996
366	3.083451255
367	3.082231008
368	3.080832768
369	3.075847857
370	3.074708944
371	3.073904847
372	3.072151672
373	3.071474466
374	3.069440363
375	3.068221831
376	3.06765803
377	3.067097448
378	3.066682637
379	3.063025017
380	3.060130104
381	3.059485321
382	3.057962993
383	3.053753283
384	3.052599516
385	3.051295761
386	3.03804375
387	3.037194202
388	3.033825907
389	3.032712184
390	3.03217721
391	3.031793417
392	3.030596656
393	3.030174001
394	3.029838979
395	3.02865281
396	3.027498651
397	3.02650386
398	3.019729516
399	3.014924315
